#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T10:01+0000 #
#####################################################################
#
# seed = 8.0, communication = 20, leaderBased = false, totalNodes = 40, totalTaskFactor = 1
#
# The columns have the following meaning: 
# time isDone[sum] replanning[sum] totalReplanning[sum] totalReplanning[mean] distance[sum] distance[mean] neighbors[mean] neighbors[mean] taskSize[sum] dones[sum] dones[mean] 
0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
0.04471122578516851 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
1.0107902396945718 0.0 21.0 21.0 1.0 0.0 0.0 10.0 10.0 0.0 0.0 NaN
2.0447112257851687 0.0 40.0 40.0 1.0 0.0 0.0 19.5 19.5 0.0 0.0 NaN
3.010790239694572 0.0 40.0 61.0 1.525 0.0 0.0 34.725 34.725 0.0 0.0 NaN
4.044711225785169 0.0 40.0 80.0 2.0 0.0 0.0 39.0 39.0 0.0 0.0 NaN
5.010790239694572 0.0 40.0 101.0 2.525 0.0 0.0 39.0 39.0 0.0 0.0 NaN
6.044711225785169 0.0 40.0 120.0 3.0 0.0 0.0 39.0 39.0 0.0 0.0 NaN
7.010790239694572 0.0 40.0 141.0 3.525 0.0 0.0 39.0 39.0 0.0 0.0 NaN
8.044711225785168 0.0 39.0 159.0 3.975 0.0 0.0 39.0 39.0 0.0 0.0 NaN
9.010790239694572 0.0 39.0 180.0 4.5 0.0 0.0 39.0 39.0 0.0 0.0 NaN
10.044711225785168 0.0 39.0 198.0 4.95 0.9999999999999922 0.02499999999999981 39.0 39.0 0.0 0.0 NaN
11.010790239694572 0.0 39.0 219.0 5.475 0.9999999999999922 0.02499999999999981 39.0 39.0 0.0 0.0 NaN
12.044711225785168 0.0 39.0 237.0 5.925 1.999999999999991 0.049999999999999746 39.0 39.0 0.0 0.0 NaN
13.010790239694572 0.0 39.0 258.0 6.45 1.999999999999991 0.049999999999999746 39.0 39.0 0.0 0.0 NaN
14.044711225785168 0.0 39.0 276.0 6.9 2.9999999999999973 0.07499999999999996 39.0 39.0 0.0 0.0 NaN
15.010790239694572 0.0 39.0 297.0 7.425 2.9999999999999973 0.07499999999999996 39.0 39.0 0.0 0.0 NaN
16.044711225785168 0.0 40.0 316.0 7.9 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
17.010790239694572 0.0 40.0 337.0 8.425 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
18.044711225785168 0.0 40.0 356.0 8.9 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
19.010790239694572 0.0 40.0 377.0 9.425 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
20.044711225785168 0.0 40.0 396.0 9.9 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
21.010790239694572 0.0 40.0 417.0 10.425 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
22.044711225785168 0.0 39.0 435.0 10.875 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
23.010790239694572 0.0 39.0 456.0 11.4 3.9999999999999845 0.09999999999999959 39.0 39.0 0.0 0.0 NaN
24.044711225785168 0.0 39.0 474.0 11.85 4.999999999999988 0.12499999999999972 39.0 39.0 0.0 0.0 NaN
25.010790239694572 0.0 39.0 495.0 12.375 4.999999999999988 0.12499999999999972 39.0 39.0 0.0 0.0 NaN
26.044711225785168 0.0 39.0 513.0 12.825 5.999999999999993 0.14999999999999986 39.0 39.0 0.0 0.0 NaN
27.010790239694572 0.0 39.0 534.0 13.35 5.999999999999993 0.14999999999999986 39.0 39.0 0.0 0.0 NaN
28.044711225785168 0.0 40.0 553.0 13.825 6.999999999999992 0.17499999999999977 39.0 39.0 0.0 0.0 NaN
