#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T09:58+0000 #
#####################################################################
#
# seed = 7.0, communication = 500, leaderBased = true, totalNodes = 5, totalTaskFactor = 2
#
# The columns have the following meaning: 
# time isDone[sum] replanning[sum] totalReplanning[sum] totalReplanning[mean] distance[sum] distance[mean] neighbors[mean] neighbors[mean] taskSize[sum] dones[sum] dones[mean] 
0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
0.07243734039751382 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
1.0724373403975138 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 2.0 0.0 NaN
2.0724373403975136 0.0 1.0 1.0 1.0 0.0 0.0 2.0 2.0 10.0 0.0 NaN
3.0724373403975136 0.0 1.0 2.0 2.0 0.0 0.0 2.8 2.8 10.0 0.0 NaN
4.072437340397514 0.0 1.0 2.0 2.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
5.072437340397514 0.0 1.0 3.0 3.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
6.072437340397514 0.0 1.0 3.0 3.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
7.072437340397514 0.0 1.0 4.0 4.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
8.072437340397514 0.0 1.0 4.0 4.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
9.072437340397514 0.0 1.0 5.0 5.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
10.072437340397514 0.0 1.0 5.0 5.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
11.072437340397514 0.0 1.0 6.0 6.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
12.072437340397514 0.0 1.0 6.0 6.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
13.072437340397514 0.0 1.0 7.0 7.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
14.072437340397514 0.0 1.0 7.0 7.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
15.072437340397514 0.0 1.0 8.0 8.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
16.072437340397514 0.0 1.0 8.0 8.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
17.072437340397514 0.0 1.0 9.0 9.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
18.072437340397514 0.0 1.0 9.0 9.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
19.072437340397514 0.0 1.0 10.0 10.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
20.072437340397514 0.0 1.0 10.0 10.0 0.0 0.0 4.0 4.0 10.0 0.0 NaN
